"A new client has been registered","2023-05-12 13:40:43"
"All clients have been printed","2023-05-12 13:40:49"
"Store credit has been added to a client","2023-05-12 13:40:57"
"All clients have been printed","2023-05-12 13:41:00"
"All clients have been printed","2023-05-16 17:35:53"
"A new client has been registered","2023-05-16 18:14:09"
"Store credit has been added to a client","2023-05-16 18:17:04"
"Repairs for a vehicle have been paid","2023-05-16 18:21:25"
"Store credit has been added to a client","2023-05-16 18:22:05"
"Repairs for a vehicle have been paid","2023-05-16 18:22:19"
